Time (s),CBF Array[0],CBF Array[1]
32.533404313,7.84278421604317,7.632783294297951e-17
32.543198321,7.842792416474256,-6.938893903907228e-17
32.553422322,7.842800655256329,3.469446951953614e-17
32.563505687,7.842808850555422,-1.734723475976807e-16
32.573553601,7.8428170289954995,2.0816681711721685e-17
32.583786488,7.84282528122585,-1.457167719820518e-16
32.593551269,7.842833490558328,-6.938893903907228e-18
32.603580237,7.842841700653017,-1.457167719820518e-16
32.613566063,7.842849915230176,-1.1102230246251565e-16
32.623361621,7.842858129982339,-1.3183898417423734e-16
32.633671825,7.842866347063405,-2.7755575615628914e-17
32.643536769,7.842874528485543,1.1102230246251565e-16
32.653481342,7.842882734950149,-3.608224830031759e-16
32.663328379,7.8428909529470445,-1.942890293094024e-16
32.67386267,7.842899209892685,-2.1510571102112408e-16
32.685160736,7.842908000067151,-1.8735013540549517e-16
32.696990608,7.84291693712278,-2.498001805406602e-16
32.707816463,7.8429259615342914,1.5959455978986625e-16
32.720833602,7.842933131118535,-1.5959455978986625e-16
32.725589803,7.842940472202611,-9.020562075079397e-17
32.737330172,7.842950818777544,1.734723475976807e-16
32.744063701,7.842956734560113,-1.249000902703301e-16
32.760968297,7.842966972280308,-3.469446951953614e-17
32.76488391,7.84297409424753,-1.249000902703301e-16
32.773735051,7.842981358742381,-7.632783294297951e-17
32.783424066,7.8429895629733934,6.938893903907228e-17
32.793659293,7.842997766791016,3.469446951953614e-17
32.803496946,7.843006007216685,0.0
32.813374972,7.843014205506922,1.249000902703301e-16
32.823306385,7.843022379093159,-1.3877787807814457e-16
32.833346877,7.843030622002615,9.020562075079397e-17
32.843639438,7.843038831981176,6.938893903907228e-18
32.853417089,7.843047047619353,1.6653345369377348e-16
32.863420216,7.8430552936016245,1.249000902703301e-16
32.873544286,7.843063524478774,4.163336342344337e-17
32.883329115,7.843071692446751,3.469446951953614e-17
32.893375956,7.84307990780356,4.163336342344337e-17
32.903479199,7.843088139008671,-1.3877787807814457e-16
32.913404995,7.84309634550625,1.8735013540549517e-16
32.923510844,7.843104547867439,-1.3877787807814457e-16
32.933591597,7.8431127770496785,-3.469446951953614e-17
32.943459248,7.843121005035357,-6.938893903907228e-18
32.953635131,7.843129255337574,1.249000902703301e-16
32.963372794,7.843137440369202,0.0
32.973748343,7.8431456890622435,6.938893903907228e-17
32.98336721,7.843153884435114,1.3877787807814457e-16
32.993780577,7.843162146215936,-9.71445146547012e-17
33.214642965,7.843342964617749,1.6653345369377348e-16
33.223488289,7.843357493778714,1.5265566588595902e-16
33.23333709,7.843372009609717,-1.249000902703301e-16
33.243372744,7.843386600210738,2.3592239273284576e-16
33.253535888,7.843401119904778,1.3183898417423734e-16
33.263359356,7.843415720618366,1.3877787807814457e-17
33.273391602,7.843430253542225,2.7755575615628914e-16
33.283297988,7.843444810599416,-1.5959455978986625e-16
33.293725874,7.843459379997187,-9.71445146547012e-17
33.30373236,7.843473941614587,9.71445146547012e-17
33.313694813,7.843488471164277,-6.938893903907228e-17
33.323328612,7.843503007155166,-1.1796119636642288e-16
33.333724062,7.8435175273815405,-1.5959455978986625e-16
33.343366705,7.843532092911142,-2.0122792321330962e-16
33.354025306,7.843546716934916,-1.8735013540549517e-16
33.36332279,7.843561193680855,-9.71445146547012e-17
33.373703489,7.843575799017603,-6.245004513516506e-17
33.38340772,7.8435903021788596,1.249000902703301e-16
33.393739158,7.843604841973628,-1.3877787807814457e-17
33.403482223,7.843619400358535,-1.3877787807814457e-17
33.413605051,7.843634002672189,-6.938893903907228e-18
33.423296654,7.84364857811296,2.3592239273284576e-16
33.4336766,7.843663140561838,1.3877787807814457e-16
33.443427165,7.843677699389382,6.938893903907228e-18
33.453676035,7.843692316384076,-4.163336342344337e-17
33.463383946,7.843706809996908,3.469446951953614e-17
33.473820232,7.843721431554307,1.3183898417423734e-16
33.483710881,7.843735891879399,1.3877787807814457e-16
33.493856883,7.843750504805723,-2.914335439641036e-16
33.507096238,7.843765058561868,-2.706168622523819e-16
33.513747933,7.843779659039222,-2.0122792321330962e-16
33.523630772,7.8437941406189635,-6.245004513516506e-17
33.533925543,7.843808764059577,-8.326672684688674e-17
33.543347258,7.84382330158353,3.469446951953614e-17
33.553668839,7.843837904238665,1.1796119636642288e-16
33.563335166,7.843852376865422,2.0816681711721685e-16
33.573405053,7.843866988247471,1.1796119636642288e-16
33.583376029,7.843881535925698,-1.1796119636642288e-16
33.593521241,7.843896191811582,2.7755575615628914e-17
33.603259539,7.843910686046722,1.249000902703301e-16
33.613618184,7.843925249591668,1.5959455978986625e-16
33.623456244,7.843939784154168,-9.020562075079397e-17
33.633825739,7.843954398455251,-5.551115123125783e-17
33.643674922,7.843968952858861,2.0816681711721685e-17
33.65371957,7.843983512667158,3.469446951953614e-17
33.663384304,7.843998141802418,6.938893903907228e-17
33.673527961,7.844012768357563,-3.885780586188048e-16
33.683507108,7.844027258920204,1.3877787807814457e-17
33.693877587,7.84404184452258,0.0
33.703642838,7.84405637959244,1.249000902703301e-16
33.71354223,7.844071040636612,1.3877787807814457e-17
33.723296243,7.844085557678106,3.469446951953614e-17
33.733814309,7.8441001301609035,-2.8449465006019636e-16
33.743531266,7.844114697972783,1.3183898417423734e-16
33.753852781,7.844129303510221,-1.1796119636642288e-16
33.76352117,7.844143830702175,-1.457167719820518e-16
33.773799153,7.844158391796247,-1.3877787807814457e-16
33.783379106,7.8441729697658396,-1.8041124150158794e-16
33.793497246,7.844187538545031,6.245004513516506e-17
33.803710889,7.844202160697418,-1.8735013540549517e-16
33.813346868,7.844216690586589,2.7755575615628914e-17
33.823284195,7.844231280454327,2.5673907444456745e-16
33.833538149,7.844245947340607,-6.245004513516506e-17
33.843445483,7.8442605515051875,1.942890293094024e-16
33.853401436,7.844275070343928,1.3877787807814457e-17
33.86356304,7.844289611273963,7.632783294297951e-17
33.873492846,7.844304242789052,3.469446951953614e-17
33.883279548,6.601444698396911,-1.0408340855860843e-16
33.893225816,6.601459250681654,-2.0816681711721685e-17
33.903418987,6.60147378403306,-5.551115123125783e-17
33.913314739,6.601488420499951,1.8735013540549517e-16
33.923321306,6.601502995266476,-2.220446049250313e-16
33.933352938,6.601517590046802,1.6653345369377348e-16
33.943296594,6.601532139115919,-2.0816681711721685e-17
33.953420525,6.601546755495615,0.0
33.963773112,6.601561379721459,-8.326672684688674e-17
33.973595169,6.601575942929567,6.938893903907228e-18
33.983212284,6.601590486155092,4.163336342344337e-17
33.993624056,6.601605141569908,1.3877787807814457e-16
34.237490999,6.601955539998357,-6.938893903907228e-18
