# x y u v xphi yphi phi_l0_x phi_l0_x phi_l1_x phi_l1_x phi_l2_x phi_l2_x
81.597278 145.585162 -3.268794 -14.639501 81.597281 145.585155 -0.976967 0.186789 -0.996419 0.084442 -0.997804 -0.057547
81.141271 143.432752 -2.929553 -14.711143 81.141272 143.432751 -0.999999 -0.000000 -0.995564 0.094036 -0.999531 -0.022507
80.768038 141.467744 -2.650847 -14.763909 80.768042 141.467743 -0.999999 -0.000000 -0.995084 0.099012 -0.999617 0.005968
80.430618 139.497567 -2.398475 -14.807002 80.446558 139.595490 -0.990806 0.085747 -0.994823 0.101608 -0.999379 0.031872
80.096125 137.322804 -2.147876 -14.845424 80.096121 137.322807 -0.947727 0.312929 -0.994633 0.103449 -0.997950 0.059902
79.822596 135.341741 -1.942392 -14.873705 79.835567 135.440559 -0.999037 0.029096 -0.994466 0.105040 -0.996522 0.081974
79.563384 133.257318 -1.747615 -14.897847 79.563384 133.257313 -0.999999 -0.000000 -0.994144 0.108042 -0.994228 0.105431
79.330231 131.170368 -1.572291 -14.917369 79.330230 131.170368 -0.999999 -0.000000 -0.993604 0.112877 -0.991772 0.126999
79.120437 129.080475 -1.414369 -14.933170 79.120436 129.080467 -0.999999 -0.000000 -0.992729 0.120287 -0.988913 0.147452
78.931792 126.989385 -1.272308 -14.945944 78.923316 126.889801 -0.922330 0.384139 -0.991328 0.131275 -0.985595 0.168270
78.769751 124.995637 -1.150208 -14.955836 78.769751 124.995632 -0.997825 0.065755 -0.989601 0.143645 -0.982457 0.185770
78.602601 122.702249 -1.024151 -14.964996 78.602600 122.702255 -0.999999 -0.000000 -0.986728 0.162155 -0.978263 0.206626
78.472184 120.706430 -0.925782 -14.971404 78.472185 120.706425 -0.993327 0.062230 -0.983389 0.181245 -0.974358 0.224545
78.354291 118.709781 -0.836881 -14.976636 78.354292 118.709774 -0.930394 0.361529 -0.979192 0.202641 -0.970023 0.242371
78.237656 116.513186 -0.748882 -14.981294 78.237658 116.513195 -0.998879 0.033893 -0.973593 0.228043 -0.965008 0.261899
78.142305 114.515643 -0.676952 -14.984717 78.146815 114.614944 -0.954217 0.283598 -0.967974 0.250784 -0.960183 0.278767
